Approach,Dataset,Locations,Days,Evaluation,Time (s),Seed
CH+GI,shanghai,5,2,724.5148981,0.0009498,0
GAC+GI,shanghai,5,2,1128.64484,3.3311404,0
GAC+GR,shanghai,5,2,724.7220049,2.0818875,0
GAC+GR+BF,shanghai,5,2,724.7220049,2.081878,0
GACC+GI,shanghai,5,2,1128.64484,2.7589282,0
GACC+GR,shanghai,5,2,724.7220049,1.5652285,0
GACC+GR+BF,shanghai,5,2,724.7220049,1.5652252,0
GAR+GI,shanghai,5,2,841.5798693,0.672875,0
GATG,shanghai,5,2,723.3077913,0.8151126,0
GITG,shanghai,5,2,774.7220049,0.0012417,0
GR+GI,shanghai,5,2,774.7220049,2.19E-05,0
KM+BF,shanghai,5,2,842.786976,0.0128141,0
KM+CH,shanghai,5,2,841.5798693,0.0136486,0
KM+GAR,shanghai,5,2,841.5798693,1.0730757,0
KM+GI,shanghai,5,2,1144.337229,0.0129684,0
KM+GR,shanghai,5,2,842.786976,0.0128518,0
BF+GI,sydney,5,2,406.1513703,0.0030574,0
BFTG,sydney,5,2,406.1513703,0.0053648,0
CH+GI,sydney,5,2,406.1513703,0.0008436,0
GAC+GI,sydney,5,2,637.3523805,2.9904795,0
GAC+GR,sydney,5,2,407.5655839,1.7418574,0
GAC+GR+BF,sydney,5,2,407.5655839,1.7418405,0
GACC+GI,sydney,5,2,637.3523805,2.8431789,0
GACC+GR,sydney,5,2,407.5655839,1.3336364,0
GACC+GR+BF,sydney,5,2,407.5655839,1.3336311,0
GAR+GI,sydney,5,2,406.1513703,0.496305,0
GATG,sydney,5,2,406.1513703,0.5978982,0
GITG,sydney,5,2,406.3584771,0.0013419,0
GR+GI,sydney,5,2,407.5655839,2.08E-05,0
KM+BF,sydney,5,2,476.7726907,0.0128071,0
KM+CH,sydney,5,2,476.7726907,0.0134534,0
KM+GAR,sydney,5,2,476.7726907,0.7746026,0
KM+GI,sydney,5,2,637.3523805,0.012697,0
KM+GR,sydney,5,2,477.9797975,0.0125672,0
BF+GI,taipei,5,2,401.3818177,0.001125,0
BFTG,taipei,5,2,401.3818177,0.0042662,0
CH+GI,taipei,5,2,403.0031381,0.0010462,0
GAC+GI,taipei,5,2,581.8254685,3.1152835,0
GAC+GR,taipei,5,2,401.3818177,1.7902124,0
GAC+GR+BF,taipei,5,2,401.3818177,1.7900876,0
GACC+GI,taipei,5,2,581.8254685,2.6724588,0
GACC+GR,taipei,5,2,401.3818177,1.5689051,0
GACC+GR+BF,taipei,5,2,401.3818177,1.5689184,0
GAR+GI,taipei,5,2,401.3818177,0.5410047,0
GATG,taipei,5,2,401.3818177,0.5711771,0
GITG,taipei,5,2,404.4173516,0.0014939,0
GR+GI,taipei,5,2,401.3818177,2.03E-05,0
KM+BF,taipei,5,2,402.139177,0.0134958,0
KM+CH,taipei,5,2,404.5533906,0.0145437,0
KM+GAR,taipei,5,2,402.139177,0.7556331,0
KM+GI,taipei,5,2,586.6538957,0.0133942,0
KM+GR,taipei,5,2,404.5533906,0.0132663,0
BF+GI,tokyo,5,2,487.5899705,0.0010779,0
BFTG,tokyo,5,2,487.5899705,0.0041371,0
CH+GI,tokyo,5,2,488.7970773,0.0008419,0
GAC+GI,tokyo,5,2,800.3117959,3.9050683,0
GAC+GR,tokyo,5,2,488.7970773,2.7328732,0
GAC+GR+BF,tokyo,5,2,488.7970773,2.7328409,0
GACC+GI,tokyo,5,2,800.3117959,3.6953977,0
GACC+GR,tokyo,5,2,488.7970773,2.0622666,0
GACC+GR+BF,tokyo,5,2,488.7970773,2.0622511,0
GAR+GI,tokyo,5,2,487.5899705,0.8438997,0
GATG,tokyo,5,2,487.5899705,0.5786517,0
GITG,tokyo,5,2,487.5899705,0.001293,0
